input_dim,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
15.0,fourier_basis,8.0,0.0,0.0,10,0.15235248798838158,0.016757132715514912,0.9416111666111666,0.03506053521481314,0.911082977908005,0.011703867595945645,1.1057143705963053,0.0779101502380347,61.0,0.1617997889051105,0.1789043517518293,0.16299670955475784
15.0,fourier_basis,9.0,0.0,0.0,10,0.156246233240463,0.020011105126667098,0.9367576867576869,0.04102904807101779,0.9202002917398172,0.011027211507344582,1.115863145713258,0.08503639393234577,51.0,0.16679471697879916,0.18612007757631538,0.1712677496843628
15.0,fourier_basis,10.0,0.0,0.0,10,0.14960667266556607,0.016143183639211627,0.9290102120102119,0.043531226853263966,0.9277732978685671,0.010444820555475827,1.1036478906675087,0.08210711650215181,41.0,0.16103878163173685,0.17773011166353192,0.1648932518286237
15.0,fourier_basis,11.0,0.0,0.0,10,0.1522389239395166,0.01365902807586932,0.9322375402375404,0.04562075786463869,0.9402095029813475,0.012686755800756398,1.0986794797190713,0.08493158240646036,51.0,0.1633048631582945,0.17941970209034916,0.1686921089274286
15.0,fourier_basis,8.0,0.0,25.0,10,0.22002404028494899,0.03026880630938722,0.8831717171717172,0.1010425725584906,0.8302291553990562,0.009325300479258732,1.3169898192967016,0.11446491540830735,21.0,0.24912940032721767,0.328100883918438,0.27239891974128855
15.0,fourier_basis,9.0,0.0,25.0,10,0.2270352991244496,0.02981607277927378,0.8729193029193029,0.10106338674456578,0.8018322158180707,0.00690591742609077,1.5173053837199981,0.2112791190359098,51.0,0.26008738535758774,0.3946319900407257,0.3164286430070499
15.0,fourier_basis,10.0,0.0,25.0,10,0.23447884507101735,0.03401532887784442,0.8426566766566767,0.08480060663900757,0.8248068697558922,0.00672015905534646,1.6159677492556965,0.19967552675249534,31.0,0.2782614219605252,0.44966148375023957,0.3708838808618251
15.0,fourier_basis,11.0,0.0,25.0,10,0.2604042090901118,0.016871412730980494,0.7352225901033951,0.07476316597242487,0.7984251761532576,0.009218162968591107,1.718802811253094,0.2178587430856955,41.0,0.35418417849959005,0.608772761706463,0.4860594995027878
15.0,fourier_basis,8.0,0.0,50.0,10,0.19878770805683907,0.02825917952898193,0.9531718281718282,0.04969057810536382,0.847220154235494,0.006548696130026074,1.232692086809437,0.10172168115596648,11.0,0.20855390621238926,0.2570827498612097,0.217805686988699
15.0,fourier_basis,9.0,0.0,50.0,10,0.20210569942611878,0.0266416992505366,0.9067835497835498,0.08661541858442648,0.8200788803763732,0.008422000156027216,1.3716958244093227,0.17612968264463139,41.0,0.22288196502281235,0.3057262607579364,0.2507196496240236
15.0,fourier_basis,10.0,0.0,50.0,10,0.21215696704373746,0.03551346457022954,0.8719777999777998,0.08742948584111543,0.8326060158798944,0.007111399279840385,1.4675062108926198,0.17196465608776298,41.0,0.24330546838364336,0.35705228599713457,0.2972838813048828
15.0,fourier_basis,11.0,0.0,50.0,10,0.23397122582225718,0.028620953310393573,0.8670108780108781,0.08757262697458455,0.8272996824833522,0.00866202046978109,1.4258847403500066,0.16272031830895942,21.0,0.26985961970747224,0.3847887137775406,0.31833558073133683
15.0,fourier_basis,8.0,0.0,75.0,10,0.1913438947829213,0.02636545291639261,0.9580253080253082,0.043077610043375396,0.8527560444874458,0.006462604187134254,1.2190407554679763,0.09915645694287581,11.0,0.19972739047710686,0.24347582897485984,0.2076254848449033
15.0,fourier_basis,9.0,0.0,75.0,10,0.1937162853407059,0.026318226501378637,0.9150360750360751,0.08924528914170037,0.8272884573936172,0.009250441090602603,1.337956863006355,0.17285452219748404,41.0,0.21170344058081936,0.28325007124716534,0.23432951449869957
15.0,fourier_basis,10.0,0.0,75.0,10,0.20615581642727335,0.03307344375925596,0.8915051615051613,0.08836044316242211,0.8456323825557128,0.010194332938210933,1.3731265190285964,0.1453997162932617,21.0,0.23124466949716008,0.31752818807055366,0.2685121182067008
15.0,fourier_basis,11.0,0.0,75.0,10,0.22696710726934016,0.028665520764970438,0.8778968808968808,0.08837572310932423,0.8358080169783573,0.008102969784118017,1.3803977691824527,0.15119541387255253,21.0,0.2585350423360259,0.35688119569614113,0.2982841644716568
15.0,fourier_basis,8.0,125.0,0.0,4,0.31201334265668546,0.03668198943099555,0.7622710622710622,0.15760411142466124,0.8358010509227501,0.016930628984592074,1.4242462372181284,0.039700085158294124,11.0,0.4093207234275595,0.5829735001571038,0.4872498640914214
15.0,fourier_basis,9.0,125.0,0.0,6,0.3454805212007796,0.04615223665309417,0.544459521959522,0.09545752067476493,0.8529818559487504,0.06289771633528915,1.5779374288544838,0.30724023566720843,11.0,0.6345384868233868,1.0012620284073097,0.8540583432818775
15.0,fourier_basis,10.0,125.0,0.0,6,0.33899166376077866,0.0396571807622286,0.6466853516853517,0.09657647112673638,0.8907302789657475,0.03989189163754989,1.5573040920342376,0.37419482807212606,11.0,0.5241987666448906,0.8163368843353885,0.7271359807140898
15.0,fourier_basis,11.0,125.0,0.0,9,0.33488721519528547,0.04474141299493935,0.6328187861521195,0.10956703618247714,0.922778446319819,0.03926593888006686,1.4901262618539617,0.10081520554103089,11.0,0.5291992313179905,0.7885736723398672,0.7276787881704967
15.0,fourier_basis,8.0,125.0,25.0,10,0.2868016657159479,0.05020239979283162,0.5327080137821826,0.23156938992930015,0.7724651329939338,0.028625286653979638,3.3765823319691455,0.7827387786676441,51.0,0.5383843649726234,1.8178991345749884,1.4042636967590256
15.0,fourier_basis,9.0,125.0,25.0,10,0.324919714273276,0.043150745245754255,0.4806870580399992,0.07966696394501725,0.7788510457560407,0.02361957910782373,4.175001521318993,1.270969435111356,41.0,0.6759485383237395,2.8220861758349622,2.197984769262726
15.0,fourier_basis,10.0,125.0,25.0,10,0.1948048786595772,0.03627459229737546,0.4958076716884766,0.1806947189912654,0.7474406021728768,0.01760044018977997,2.005624113661343,0.29963853511256544,81.0,0.39290412348031606,0.7880179844090958,0.5889966367897912
15.0,fourier_basis,11.0,125.0,25.0,10,0.322896252290266,0.033569202146200704,0.31246093590978496,0.13062586272020052,0.7785702056828429,0.015998419251315725,3.6280962220684643,1.0446344044677525,51.0,1.0333971872358916,3.749264430906716,2.9190655791304083
15.0,fourier_basis,8.0,125.0,50.0,10,0.30374476217142055,0.03534538137957828,0.4068019084458713,0.15614442457104646,0.7787962067720816,0.01432219831335489,4.0107928720743,0.6031064908472401,41.0,0.7466650373687629,2.9947188097057253,2.3322756493478223
